date,scraped_at,plan,slug,beds,baths,sqft,bldg,listed,n_units,price_min,price_max,price_text,earliest_available,url
2026-09-13,2026-09-14T00:51:40+00:00,Denver 1,denver-1,0,1,532,1,0,0,,,call for pricing,,https://www.bellwestford.com/floorplans-m5-pt/denver-1/
2026-09-13,2026-09-14T00:51:40+00:00,Denver 2,denver-2,0,1,535,2,1,3,2270,4494,"$2,270 - $4,494",2026-06-11,https://www.bellwestford.com/floorplans-m5-pt/denver-2/
2026-09-13,2026-09-14T00:51:40+00:00,Eaton 2,eaton-2,1,1,683,2,0,0,,,call for pricing,,https://www.bellwestford.com/floorplans-m5-pt/eaton-2/
2026-09-13,2026-09-14T00:51:40+00:00,Eaton 1,eaton-1,1,1,687,1,1,1,2530,4437,"$2,530 - $4,437",2026-08-28,https://www.bellwestford.com/floorplans-m5-pt/eaton-1/
2026-09-13,2026-09-14T00:51:40+00:00,Edgewater 1,edgewater-1,1,1,725,1,0,0,,,call for pricing,,https://www.bellwestford.com/floorplans-m5-pt/edgewater-1/
2026-09-13,2026-09-14T00:51:40+00:00,Edgewater 2,edgewater-2,1,1,725,2,0,0,,,call for pricing,,https://www.bellwestford.com/floorplans-m5-pt/edgewater-2/
2026-09-13,2026-09-14T00:51:40+00:00,Evergreen 1,evergreen-1,1,1,789,1,1,4,2520,4460,"$2,520 - $4,460",2026-09-17,https://www.bellwestford.com/floorplans-m5-pt/evergreen-1/
2026-09-13,2026-09-14T00:51:40+00:00,Evergreen 2,evergreen-2,1,1,789,2,0,0,,,call for pricing,,https://www.bellwestford.com/floorplans-m5-pt/evergreen-2/
2026-09-13,2026-09-14T00:51:40+00:00,Evans 1,evans-1,1,1,852,1,0,0,,,call for pricing,,https://www.bellwestford.com/floorplans-m5-pt/evans-1/
2026-09-13,2026-09-14T00:51:40+00:00,Evans 2,evans-2,1,1,874,2,1,1,2585,4500,"$2,585 - $4,500",2026-07-02,https://www.bellwestford.com/floorplans-m5-pt/evans-2/
2026-09-13,2026-09-14T00:51:40+00:00,Erie 1,erie-1,1,1,907,1,1,2,2704,4669,"$2,704 - $4,669",2026-08-28,https://www.bellwestford.com/floorplans-m5-pt/erie-1/
2026-09-13,2026-09-14T00:51:40+00:00,Erie 2,erie-2,1,1,914,2,1,1,2730,4664,"$2,730 - $4,664",2026-07-04,https://www.bellwestford.com/floorplans-m5-pt/erie-2/
2026-09-13,2026-09-14T00:51:40+00:00,Ames 1,ames-1,2,2,1188,1,1,4,3001,5914,"$3,001 - $5,914",2026-07-02,https://www.bellwestford.com/floorplans-m5-pt/ames-1/
2026-09-13,2026-09-14T00:51:40+00:00,Ames 2,ames-2,2,2,1227,2,1,2,3015,5462,"$3,015 - $5,462",2026-08-07,https://www.bellwestford.com/floorplans-m5-pt/ames-2/
2026-09-13,2026-09-14T00:51:40+00:00,Aspen 1,aspen-1,2,2,1234,1,1,2,3060,5595,"$3,060 - $5,595",2026-09-28,https://www.bellwestford.com/floorplans-m5-pt/aspen-1/
2026-09-13,2026-09-14T00:51:40+00:00,Aspen 2,aspen-2,2,2,1237,2,1,2,3105,5561,"$3,105 - $5,561",2026-06-22,https://www.bellwestford.com/floorplans-m5-pt/aspen-2/
2026-09-13,2026-09-14T00:51:40+00:00,Avon 2,avon-2,2,2,1292,2,1,1,3085,5623,"$3,085 - $5,623",2026-09-29,https://www.bellwestford.com/floorplans-m5-pt/avon-2/
2026-09-13,2026-09-14T00:51:40+00:00,Avon 1,avon-1,2,2,1304,1,1,1,3399,5884,"$3,399 - $5,884",2026-08-28,https://www.bellwestford.com/floorplans-m5-pt/avon-1/
2026-09-13,2026-09-14T00:51:40+00:00,Breckenridge 1,breckenridge-1,3,2,1472,1,1,3,4205,9169,"$4,205 - $9,169",2026-08-28,https://www.bellwestford.com/floorplans-m5-pt/breckenridge-1/
2026-09-13,2026-09-14T00:51:40+00:00,Breckenridge 2,breckenridge-2,3,2,1503,2,1,1,4513,9222,"$4,513 - $9,222",2025-08-15,https://www.bellwestford.com/floorplans-m5-pt/breckenridge-2/
2026-09-13,2026-09-14T00:51:40+00:00,Townhome,townhome,3,2,1932,2,1,1,5125,9895,"$5,125 - $9,895",2026-08-11,https://www.bellwestford.com/floorplans-m5-pt/townhome/
